#{"t_start": 1613751115.8165581, "env_id": "dVRLPick-v0"}
r,l,t
-100.0,100,3.733724
-100.0,100,5.823203
-100.0,100,7.919088
-100.0,100,10.014636
-100.0,100,12.103093
-100.0,100,14.194329
-100.0,100,16.29873
-100.0,100,18.405941
-100.0,100,20.499826
-100.0,100,22.593743
-100.0,100,24.681143
-100.0,100,28.307237
-100.0,100,31.984309
-100.0,100,35.829167
-100.0,100,39.799865
-100.0,100,43.784478
-100.0,100,47.852023
-100.0,100,52.016751
-100.0,100,56.102666
-100.0,100,60.151131
-100.0,100,64.208555
-100.0,100,68.314837
-100.0,100,72.564296
-100.0,100,76.793929
-100.0,100,81.050103
-100.0,100,85.279284
-100.0,100,89.568692
-100.0,100,93.893461
-100.0,100,98.250999
-100.0,100,102.814311
-100.0,100,107.110991
-100.0,100,111.703516
-100.0,100,116.201758
-100.0,100,120.869175
-100.0,100,125.626297
-100.0,100,130.700162
-100.0,100,135.858476
-100.0,100,140.944905
-100.0,100,145.977133
-100.0,100,151.027277
-100.0,100,156.053934
-100.0,100,161.261161
-100.0,100,166.337878
-100.0,100,171.436545
-100.0,100,176.545185
-100.0,100,181.673872
-100.0,100,186.719684
-100.0,100,191.716432
-100.0,100,196.796422
-100.0,100,201.853298
-100.0,100,206.70104
-100.0,100,211.549265
-100.0,100,216.088377
-100.0,100,220.651529
-100.0,100,225.137574
-100.0,100,229.963739
-100.0,100,234.748235
-100.0,100,239.615156
-100.0,100,244.188421
-100.0,100,249.000176
-100.0,100,253.5204
-100.0,100,258.049305
-100.0,100,262.563705
-100.0,100,267.232806
-100.0,100,272.007287
-100.0,100,276.915098
-100.0,100,281.685369
-100.0,100,286.419141
-100.0,100,290.977477
-100.0,100,295.538591
-100.0,100,300.243685
-100.0,100,305.238434
-100.0,100,309.945693
-100.0,100,314.858558
-100.0,100,319.479685
-100.0,100,324.078276
-100.0,100,328.947952
-100.0,100,333.752384
-100.0,100,338.543918
-100.0,100,343.419984
-100.0,100,348.456078
-100.0,100,353.119163
-100.0,100,357.787295
-100.0,100,362.680417
-100.0,100,367.26017
-100.0,100,372.055597
-100.0,100,376.728446
-100.0,100,381.573823
-100.0,100,386.302986
-100.0,100,391.163715
-100.0,100,396.111647
-100.0,100,400.943931
-100.0,100,405.716185
-100.0,100,410.55573
-100.0,100,415.692158
-100.0,100,420.787691
-100.0,100,425.84227
-100.0,100,430.849991
-100.0,100,436.098662
-100.0,100,441.138349
-100.0,100,467.002887
-100.0,100,471.48448
-100.0,100,475.896604
-100.0,100,480.406794
-100.0,100,485.053925
-100.0,100,489.580154
-100.0,100,494.395704
-100.0,100,499.269721
-100.0,100,503.833565
-100.0,100,508.562583
-100.0,100,513.904317
-100.0,100,518.75319
-100.0,100,523.638677
-100.0,100,528.538393
-100.0,100,534.027588
-100.0,100,539.387241
-100.0,100,544.61552
-100.0,100,550.476623
-100.0,100,556.059363
-100.0,100,561.535662
-100.0,100,566.953112
-100.0,100,572.409685
-100.0,100,578.085784
-100.0,100,583.681053
-100.0,100,589.307756
-100.0,100,595.156665
-100.0,100,600.963478
-100.0,100,606.64829
-100.0,100,612.33248
-100.0,100,618.036289
-100.0,100,623.762318
-100.0,100,629.566384
-100.0,100,635.257576
-100.0,100,640.963516
-100.0,100,646.685725
-100.0,100,652.449309
-100.0,100,658.367703
-100.0,100,664.131601
-100.0,100,670.002128
-100.0,100,675.840555
-100.0,100,681.588542
-100.0,100,687.587114
-100.0,100,693.594313
-100.0,100,699.787052
-100.0,100,705.807497
-100.0,100,711.827139
-100.0,100,718.02418
-100.0,100,724.061378
-100.0,100,730.145638
-100.0,100,736.256896
-100.0,100,742.598875
-100.0,100,749.074501
-100.0,100,755.497846
-100.0,100,761.884
-100.0,100,768.30566
-100.0,100,774.84327
-100.0,100,781.304936
-100.0,100,787.754448
-100.0,100,794.164409
-100.0,100,800.593211
-100.0,100,807.106698
-100.0,100,813.458222
-100.0,100,819.886711
-100.0,100,826.361434
-100.0,100,832.928005
-100.0,100,839.345394
-100.0,100,845.858539
-100.0,100,852.359913
-100.0,100,858.772707
-100.0,100,865.359637
-100.0,100,871.883685
-100.0,100,878.417608
-100.0,100,884.870142
-100.0,100,891.335691
-100.0,100,897.803138
-100.0,100,904.282469
-100.0,100,910.79764
-100.0,100,917.583161
-100.0,100,924.415871
-100.0,100,931.255706
-100.0,100,938.299832
-100.0,100,945.115149
-100.0,100,951.534042
-100.0,100,957.61633
-100.0,100,963.725493
-100.0,100,969.791051
-100.0,100,975.88169
-100.0,100,982.033585
-100.0,100,988.030619
-100.0,100,994.055578
-100.0,100,1000.185616
-100.0,100,1006.265997
-100.0,100,1012.314316
-100.0,100,1018.404258
-100.0,100,1024.670635
-100.0,100,1030.833384
-100.0,100,1036.888717
-100.0,100,1042.925031
-100.0,100,1049.113026
-100.0,100,1055.704546
-100.0,100,1084.550052
-100.0,100,1090.574193
-100.0,100,1096.261628
-100.0,100,1101.797389
-100.0,100,1106.977185
-100.0,100,1112.484115
-100.0,100,1117.54513
-100.0,100,1122.536631
-100.0,100,1127.489982
-100.0,100,1132.4583
-100.0,100,1137.6627
-100.0,100,1142.667527
-100.0,100,1147.815203
-100.0,100,1153.006216
-100.0,100,1157.930663
-100.0,100,1162.970232
-100.0,100,1167.933792
-100.0,100,1172.67186
-100.0,100,1177.446167
-100.0,100,1182.351375
-100.0,100,1186.974526
-100.0,100,1191.602294
-100.0,100,1196.257507
-100.0,100,1200.917874
-100.0,100,1205.822423
-100.0,100,1210.523997
-100.0,100,1214.935427
-100.0,100,1219.346659
-100.0,100,1223.862736
-100.0,100,1228.317961
-100.0,100,1232.891258
-100.0,100,1237.292816
-100.0,100,1241.864767
-100.0,100,1246.314833
-100.0,100,1250.734586
-100.0,100,1255.205915
-100.0,100,1259.647761
-100.0,100,1264.076454
-100.0,100,1268.507061
-100.0,100,1273.006782
-100.0,100,1277.43817
-100.0,100,1281.865971
-100.0,100,1286.243013
-100.0,100,1290.790479
-100.0,100,1295.356487
-100.0,100,1299.785235
-100.0,100,1304.221058
-100.0,100,1308.628338
-100.0,100,1313.049139
-100.0,100,1317.466196
-100.0,100,1321.865945
-100.0,100,1326.458245
-100.0,100,1331.027643
-100.0,100,1335.513842
-100.0,100,1340.01987
-100.0,100,1344.4508
-100.0,100,1348.924685
-100.0,100,1353.376632
-100.0,100,1357.958188
-100.0,100,1362.391397
-100.0,100,1366.857143
-100.0,100,1371.318561
-100.0,100,1375.782894
-100.0,100,1380.265072
-100.0,100,1384.885446
-100.0,100,1389.368084
-100.0,100,1393.784763
-100.0,100,1398.261053
-100.0,100,1402.686222
-100.0,100,1407.129231
-100.0,100,1411.717844
-100.0,100,1416.410709
-100.0,100,1420.867861
-100.0,100,1425.295205
-100.0,100,1429.763064
-100.0,100,1434.194921
-100.0,100,1438.808669
-100.0,100,1443.229996
-100.0,100,1447.6432
-100.0,100,1452.075439
-100.0,100,1456.529522
-100.0,100,1460.974336
-100.0,100,1465.416252
-100.0,100,1469.867665
-100.0,100,1474.300067
-100.0,100,1478.665934
-100.0,100,1483.059509
-100.0,100,1487.510433
-100.0,100,1491.950162
-100.0,100,1496.381133
-100.0,100,1500.8225
-100.0,100,1505.348326
-100.0,100,1510.012092
-100.0,100,1514.456954
-100.0,100,1518.961962
-100.0,100,1523.489073
-100.0,100,1527.915258
-100.0,100,1532.362926
-100.0,100,1537.034873
-100.0,100,1541.52881
-100.0,100,1566.980635
-100.0,100,1571.220703
-100.0,100,1575.46036
-100.0,100,1579.790148
-100.0,100,1584.020539
-100.0,100,1588.4495
-100.0,100,1592.743567
-100.0,100,1597.207868
-100.0,100,1601.54001
-100.0,100,1605.874364
-100.0,100,1610.210133
-100.0,100,1614.533613
-100.0,100,1618.865639
-100.0,100,1623.183192
-100.0,100,1627.531089
-100.0,100,1631.894401
-100.0,100,1636.21956
-100.0,100,1640.774158
-100.0,100,1645.116331
-100.0,100,1649.391582
-100.0,100,1653.834098
-100.0,100,1658.200112
-100.0,100,1662.613563
-100.0,100,1666.96397
-100.0,100,1671.308063
-100.0,100,1675.734274
-100.0,100,1680.164783
-100.0,100,1684.599739
-100.0,100,1689.22987
-100.0,100,1693.697844
-100.0,100,1698.217834
-100.0,100,1702.66628
-100.0,100,1707.21137
-100.0,100,1711.723654
-100.0,100,1716.308263
-100.0,100,1720.83961
-100.0,100,1725.289422
-100.0,100,1729.737878
-100.0,100,1734.372243
-100.0,100,1738.806499
-100.0,100,1743.477526
-100.0,100,1748.061351
-100.0,100,1752.48893
-100.0,100,1756.910927
-100.0,100,1761.343913
-100.0,100,1766.020777
-100.0,100,1770.721135
-100.0,100,1775.206335
-100.0,100,1779.816788
-100.0,100,1784.284462
-100.0,100,1788.806503
-100.0,100,1793.293769
-100.0,100,1797.887978
-100.0,100,1802.353117
-100.0,100,1806.961888
-100.0,100,1811.470813
-100.0,100,1815.995889
-100.0,100,1820.473366
-100.0,100,1824.988251
-100.0,100,1829.497275
-100.0,100,1833.982227
-100.0,100,1838.481518
-100.0,100,1843.05346
-100.0,100,1847.529516
-100.0,100,1852.000055
-100.0,100,1856.47005
-100.0,100,1860.869197
-100.0,100,1865.315876
-100.0,100,1869.809701
-100.0,100,1874.356095
-100.0,100,1878.806481
-100.0,100,1883.455547
-100.0,100,1887.886908
-100.0,100,1892.500687
-100.0,100,1896.933722
-100.0,100,1901.405966
-100.0,100,1905.870278
-100.0,100,1910.414534
-100.0,100,1914.806575
-100.0,100,1919.399428
-100.0,100,1923.859417
-100.0,100,1928.478758
-100.0,100,1932.913238
-100.0,100,1937.379361
-100.0,100,1941.818022
-100.0,100,1946.304585
-100.0,100,1950.737772
-100.0,100,1955.188659
-100.0,100,1959.530091
-100.0,100,1963.778044
-100.0,100,1968.012827
-100.0,100,1972.373568
-100.0,100,1976.771045
-100.0,100,1981.204139
-100.0,100,1985.527795
-100.0,100,1989.887681
