#{"t_start": 1623057457.807184, "env_id": "dVRLPickPlaceTarget-v0"}
r,l,t
-100.0,100,42.681787
-100.0,100,80.178195
-100.0,100,117.678002
-100.0,100,155.089434
-100.0,100,192.458132
-100.0,100,229.762011
-100.0,100,267.053783
-100.0,100,304.537612
-100.0,100,341.861774
-100.0,100,379.113908
-100.0,100,416.51017
-100.0,100,456.377997
-100.0,100,496.170056
-100.0,100,535.381958
-100.0,100,575.209631
-100.0,100,615.07407
-100.0,100,654.837925
-100.0,100,694.718172
-100.0,100,734.702009
-100.0,100,774.513436
-100.0,100,814.097374
-100.0,100,853.598152
-100.0,100,893.249481
-100.0,100,933.078187
-100.0,100,972.529443
-100.0,100,1011.898121
-100.0,100,1051.677184
-100.0,100,1091.450158
-100.0,100,1130.925989
-100.0,100,1171.04599
-100.0,100,1211.041452
-100.0,100,1250.830277
-100.0,100,1290.737971
-100.0,100,1330.641295
-100.0,100,1370.490045
-100.0,100,1410.805926
-100.0,100,1451.18164
-100.0,100,1491.005382
-100.0,100,1531.409445
-100.0,100,1571.177492
-100.0,100,1610.585794
-100.0,100,1650.569932
-100.0,100,1690.821975
-100.0,100,1731.11317
-100.0,100,1771.125731
-100.0,100,1811.449475
-100.0,100,1851.361766
-100.0,100,1890.969437
-100.0,100,1931.113385
-100.0,100,1970.933337
-100.0,100,2010.965744
-100.0,100,2051.062041
-100.0,100,2091.273652
-100.0,100,2131.265866
-100.0,100,2171.629935
-100.0,100,2211.39738
-100.0,100,2251.306205
-100.0,100,2291.441583
-100.0,100,2331.649826
-100.0,100,2371.24184
-100.0,100,2411.094096
-100.0,100,2450.78198
-100.0,100,2490.730189
-100.0,100,2530.225271
-100.0,100,2570.038157
-100.0,100,2609.913969
-100.0,100,2649.549902
-100.0,100,2689.721623
-100.0,100,2729.665125
-100.0,100,2769.329718
-100.0,100,2809.781879
-100.0,100,2849.597859
-100.0,100,2889.581698
-100.0,100,2929.413382
-100.0,100,2969.314058
-100.0,100,3009.161836
-100.0,100,3048.929852
-100.0,100,3089.029932
-100.0,100,3129.053486
-100.0,100,3168.793298
-100.0,100,3208.665793
-100.0,100,3248.80934
-100.0,100,3288.889672
-100.0,100,3329.165941
-100.0,100,3369.082195
-100.0,100,3408.745842
-100.0,100,3448.53722
-100.0,100,3488.357281
-100.0,100,3527.985686
-100.0,100,3568.146074
-100.0,100,3608.138209
-100.0,100,3647.934004
-100.0,100,3687.422218
-100.0,100,3727.16121
-100.0,100,3766.865861
-100.0,100,3807.285666
-100.0,100,3847.033466
-100.0,100,3887.001825
-100.0,100,3927.246064
-100.0,100,3967.337803
-100.0,100,4381.77711
-100.0,100,4421.909945
-100.0,100,4461.757278
-100.0,100,4501.701329
-100.0,100,4541.657347
-100.0,100,4582.03739
-100.0,100,4621.861704
-100.0,100,4661.845906
-100.0,100,4702.145304
-100.0,100,4741.929666
-100.0,100,4781.669084
