#{"t_start": 1613979780.5076685, "env_id": "dVRLPickRail-v0"}
r,l,t
-169.322683,100,3.855394
-186.375223,100,6.070122
-198.286233,100,8.249404
-235.404858,100,10.43887
-165.453192,100,12.638704
-251.215203,100,14.839545
-199.626447,100,17.048162
-176.22247,100,19.249541
-168.02063,100,21.44074
-202.525045,100,23.638173
-188.589868,100,25.844934
-108.00454,100,32.958657
-190.540096,100,36.750361
-238.285165,100,40.691549
-370.277761,100,44.71505
-88.949255,100,48.547367
-92.545925,100,52.389614
-107.820621,100,56.243557
-72.301675,100,60.107744
-79.396879,100,63.971154
-84.785516,100,67.910068
-77.69524,100,71.826864
-112.717915,100,75.799903
-86.771725,100,79.980107
-75.060985,100,84.312191
-83.949922,100,88.631047
-106.518006,100,92.879385
-104.632905,100,97.188959
-110.200729,100,101.517812
-88.846225,100,105.7794
-108.533235,100,110.222598
-454.797961,100,114.824824
-144.921277,100,119.25431
-130.540094,100,123.71669
-106.776489,100,128.27358
-96.394561,100,132.95929
-76.106921,100,137.755379
-89.888092,100,142.535246
-87.25612,100,147.353936
-64.78633,100,152.182046
-85.743683,100,156.982119
-90.165001,100,161.753232
-69.611336,100,166.505419
-85.423782,100,171.260626
-77.935298,100,176.014644
-85.226431,100,180.7889
-66.81278,100,185.541751
-65.356107,100,190.314219
-107.465227,100,194.968774
-90.41145,100,199.545966
-98.988822,100,204.079456
-107.836581,100,209.076165
-80.513325,100,214.585992
-76.151083,100,219.637187
-108.649738,100,224.566509
-107.457471,100,229.777148
-107.75126,100,234.968004
-65.775506,100,240.149799
-68.902229,100,245.324165
-76.053362,100,250.447761
-75.526299,100,255.541762
-81.524323,100,260.627037
-69.459598,100,265.740305
-66.338301,100,270.872527
-68.578964,100,276.269175
-67.407345,100,281.728457
-107.976951,100,287.223477
-68.981095,100,292.73239
-66.887523,100,298.24401
-108.101164,100,303.660507
-70.657199,100,309.231681
-75.696887,100,314.802645
-69.892755,100,320.34835
-90.915769,100,326.726478
-76.914037,100,332.434376
-71.717535,100,338.029399
