#{"t_start": 1614239134.344003, "env_id": "dVRLPickRail-v0"}
r,l,t,is_success
-260.138188,100,7.611897,0.0
-240.976609,100,13.484361,0.0
-210.172195,100,19.480304,0.0
-184.885602,100,25.573542,0.0
-213.475292,100,31.68404,0.0
-183.832474,100,37.776252,0.0
-191.753908,100,43.943968,0.0
-195.558621,100,50.072154,0.0
-218.54317,100,56.220527,0.0
-186.784023,100,62.316216,0.0
-174.420954,100,68.455825,0.0
-102.002459,100,77.400945,0.0
-110.611539,100,84.37618,0.0
-396.313215,100,92.467891,0.0
-81.897806,100,100.260197,0.0
-81.623879,100,105.100841,0.0
-66.258735,100,110.192138,0.0
-58.646172,100,115.294216,0.0
-111.794328,100,120.22129,0.0
-106.153939,100,129.048803,0.0
-44.054135,100,134.718857,1.0
-52.735902,100,140.446667,1.0
-69.341264,100,146.206894,0.0
-53.473551,100,152.157305,1.0
-43.857452,100,158.223364,1.0
-66.751019,100,165.102577,0.0
-70.447371,100,171.97058,0.0
-72.80806,100,179.571507,0.0
-79.22384,100,187.300321,0.0
-71.11361,100,195.048319,0.0
-85.844637,100,203.777041,0.0
-87.077276,100,211.973962,0.0
-79.865203,100,220.253744,0.0
-107.409755,100,229.04057,0.0
-83.813485,100,237.240551,0.0
-85.793237,100,245.014047,0.0
-76.54415,100,254.128298,0.0
-89.405332,100,262.516318,0.0
-109.240396,100,270.876406,0.0
-629.229261,100,282.9301,0.0
-104.454246,100,295.293628,0.0
-108.016899,100,303.476386,0.0
-92.923045,100,311.814239,0.0
-108.234201,100,320.509697,0.0
-82.636162,100,328.914236,0.0
-88.735852,100,337.295396,0.0
-67.41075,100,346.06161,0.0
-71.829918,100,354.506318,0.0
-78.614625,100,361.904927,0.0
-64.233388,100,368.144573,0.0
-98.853539,100,374.039449,0.0
-92.992596,100,379.652478,0.0
-89.670543,100,385.57247,0.0
-104.849551,100,391.279979,0.0
-86.369307,100,396.752689,0.0
-74.30187,100,401.946049,0.0
-106.68603,100,407.387511,0.0
-112.856575,100,412.893847,0.0
-84.659524,100,418.258232,0.0
-102.520218,100,423.461675,0.0
-82.033889,100,428.695985,0.0
-81.937478,100,434.014387,0.0
-94.671592,100,439.045686,0.0
-103.181086,100,444.151086,0.0
-97.934199,100,449.279404,0.0
-98.001517,100,454.477192,0.0
-79.561566,100,459.685611,0.0
-85.714745,100,465.049366,0.0
-96.77923,100,470.251614,0.0
-102.795918,100,475.433568,0.0
-94.638016,100,480.572548,0.0
-101.383307,100,485.686206,0.0
-90.02583,100,490.874034,0.0
-73.015751,100,496.290755,0.0
-76.206651,100,501.40513,0.0
-105.803126,100,506.492257,0.0
-75.776011,100,511.684987,0.0
-82.591639,100,516.873092,0.0
-480.025879,100,525.50447,0.0
-64.905255,100,530.603878,0.0
-107.511249,100,535.609545,0.0
-120.349312,100,541.548699,0.0
-83.413661,100,546.944403,0.0
-106.929731,100,551.917899,0.0
-67.913872,100,557.223253,0.0
-55.477666,100,562.535093,0.0
-108.189624,100,567.463803,0.0
