#{"t_start": 1613669799.8952544, "env_id": "dVRLReach-v0"}
r,l,t
-30.0,30,4.908763
-30.0,30,5.604587
-30.0,30,6.311283
-30.0,30,7.026242
-30.0,30,7.739011
-30.0,30,8.431878
-30.0,30,9.131103
-30.0,30,9.848235
-30.0,30,10.559044
-30.0,30,11.280141
-30.0,30,11.984294
-30.0,30,12.700824
-30.0,30,13.40953
-30.0,30,14.130466
-30.0,30,14.835953
-30.0,30,15.577213
-30.0,30,16.285616
-30.0,30,17.004462
-30.0,30,17.713011
-30.0,30,18.434514
-30.0,30,19.171633
-30.0,30,19.878177
-30.0,30,20.599066
-30.0,30,21.317578
-30.0,30,22.031353
-30.0,30,22.7516
-30.0,30,23.463198
-30.0,30,24.210785
-30.0,30,24.926119
-30.0,30,25.637475
-30.0,30,26.3424
-30.0,30,27.051004
-30.0,30,27.803234
-30.0,30,28.562965
-30.0,30,30.056411
-30.0,30,31.640443
-30.0,30,33.198282
-30.0,30,34.799067
-30.0,30,36.202803
-28.0,30,37.825718
-30.0,30,39.414211
-30.0,30,40.941663
-30.0,30,42.630163
-30.0,30,44.22303
-30.0,30,45.727708
-27.0,30,47.250996
-30.0,30,48.747976
-30.0,30,50.387173
-30.0,30,51.979574
-30.0,30,53.48591
-30.0,30,54.943512
-30.0,30,56.332563
-30.0,30,57.920547
-21.0,30,59.466143
-30.0,30,61.09875
-30.0,30,62.583381
-30.0,30,64.131094
-30.0,30,65.679135
-30.0,30,67.296282
-30.0,30,68.811506
-30.0,30,70.357248
-30.0,30,72.00326
-24.0,30,73.438325
-30.0,30,74.968
-9.0,30,76.43905
-30.0,30,77.982135
-30.0,30,79.496711
-30.0,30,81.053341
-30.0,30,82.690539
-28.0,30,84.271253
-30.0,30,85.722772
-30.0,30,87.369542
-30.0,30,88.903996
-30.0,30,90.373587
-30.0,30,91.842288
-30.0,30,93.280131
-30.0,30,94.762928
-25.0,30,96.394728
-30.0,30,97.806038
-30.0,30,99.404193
-30.0,30,100.938329
-30.0,30,102.516089
-30.0,30,104.108662
-30.0,30,105.624371
-30.0,30,107.178999
-30.0,30,108.716113
-30.0,30,110.180998
-30.0,30,111.833842
-30.0,30,113.371738
-2.0,30,114.901572
-30.0,30,116.414984
-30.0,30,117.966612
-30.0,30,119.563834
-30.0,30,121.194669
-30.0,30,122.790993
-30.0,30,124.487098
-30.0,30,126.101934
-27.0,30,127.648322
-30.0,30,129.186858
-30.0,30,130.787289
-30.0,30,132.461725
-30.0,30,133.929672
-30.0,30,135.502973
-30.0,30,137.016326
-30.0,30,138.579833
-30.0,30,140.244978
-30.0,30,141.881139
-30.0,30,143.534285
-3.0,30,145.111916
-30.0,30,146.635461
-30.0,30,148.15879
-30.0,30,149.745384
-30.0,30,151.380266
-30.0,30,152.945056
-30.0,30,154.580594
-30.0,30,156.233595
-30.0,30,157.872055
-30.0,30,159.491707
-30.0,30,161.06402
-30.0,30,162.586235
-7.0,30,164.1473
-30.0,30,165.790698
-30.0,30,167.413246
-30.0,30,169.033195
-30.0,30,170.702304
-26.0,30,172.332725
-30.0,30,173.987674
-30.0,30,175.677315
-30.0,30,177.220839
-30.0,30,178.983823
-9.0,30,180.625976
-30.0,30,182.371859
-30.0,30,184.000912
-30.0,30,185.640379
-30.0,30,187.230237
-30.0,30,188.998491
-30.0,30,190.816046
-30.0,30,192.523193
-30.0,30,194.28592
-30.0,30,196.12888
-30.0,30,197.945856
-24.0,30,199.802739
-30.0,30,201.464361
-29.0,30,203.157623
-26.0,30,204.938331
-30.0,30,206.788544
-30.0,30,208.547143
-30.0,30,210.385615
-30.0,30,212.041012
-9.0,30,213.676584
-30.0,30,215.429541
-9.0,30,217.315593
-30.0,30,219.086187
-30.0,30,220.849737
-30.0,30,222.697731
-30.0,30,224.518489
-30.0,30,226.539068
-9.0,30,228.516757
-30.0,30,230.648081
-10.0,30,232.69855
-30.0,30,234.571542
-30.0,30,236.584328
-30.0,30,238.492383
-4.0,30,240.388005
-30.0,30,242.269034
-30.0,30,244.376608
-30.0,30,246.240245
-30.0,30,248.2544
-14.0,30,250.13453
-30.0,30,251.969019
-30.0,30,253.889607
-30.0,30,255.747462
-30.0,30,257.665981
-30.0,30,259.440116
-30.0,30,261.528263
-30.0,30,263.461936
-12.0,30,265.329696
-30.0,30,267.114295
-30.0,30,268.931433
-30.0,30,270.746161
-30.0,30,272.642662
-30.0,30,274.497977
-6.0,30,276.400554
-3.0,30,278.224353
-30.0,30,280.080136
-5.0,30,281.922085
-30.0,30,283.996999
-5.0,30,285.741848
-30.0,30,287.560191
-30.0,30,289.449152
-10.0,30,291.262411
-30.0,30,293.182945
-3.0,30,295.094073
-30.0,30,296.981471
-30.0,30,298.823729
-19.0,30,300.658988
-14.0,30,302.553426
-30.0,30,304.559203
-14.0,30,306.406809
-30.0,30,308.234391
-30.0,30,310.145134
-30.0,30,311.966422
-6.0,30,313.890185
-14.0,30,315.752107
-30.0,30,317.704191
-30.0,30,319.541366
-30.0,30,321.400559
-12.0,30,323.328798
-30.0,30,324.986197
-8.0,30,326.802444
-30.0,30,328.627541
-30.0,30,330.434708
-30.0,30,332.014237
-30.0,30,333.746417
-9.0,30,335.5167
-7.0,30,337.351734
-30.0,30,339.14846
-30.0,30,340.895624
-30.0,30,342.623253
-9.0,30,344.338553
-30.0,30,346.167087
