#{"t_start": 1614187358.8486652, "env_id": "dVRLReach-v0"}
r,l,t,is_success
-30.0,30,2.332542,0.0
-30.0,30,3.015047,0.0
-30.0,30,3.687611,0.0
-30.0,30,4.365746,0.0
-30.0,30,5.050756,0.0
-30.0,30,5.728652,0.0
-30.0,30,6.406883,0.0
-30.0,30,7.086546,0.0
-30.0,30,7.764588,0.0
-30.0,30,8.443774,0.0
-30.0,30,9.128918,0.0
-30.0,30,9.83108,0.0
-30.0,30,10.525635,0.0
-30.0,30,11.208924,0.0
-30.0,30,11.897805,0.0
-30.0,30,12.583547,0.0
-30.0,30,13.258827,0.0
-30.0,30,13.937822,0.0
-30.0,30,14.613306,0.0
-30.0,30,15.287311,0.0
-30.0,30,15.963598,0.0
-30.0,30,16.639278,0.0
-30.0,30,17.316732,0.0
-30.0,30,17.995146,0.0
-30.0,30,18.672217,0.0
-30.0,30,19.350285,0.0
-30.0,30,20.028848,0.0
-30.0,30,20.706938,0.0
-30.0,30,21.382547,0.0
-30.0,30,22.055572,0.0
-30.0,30,22.757399,0.0
-30.0,30,23.437063,0.0
-30.0,30,24.113793,0.0
-30.0,30,24.805923,0.0
-30.0,30,25.791032,0.0
-27.0,30,26.7614,0.0
-30.0,30,27.741524,0.0
-30.0,30,28.720311,0.0
-30.0,30,29.701797,0.0
-30.0,30,30.681305,0.0
-30.0,30,31.674315,0.0
-30.0,30,32.649396,0.0
-30.0,30,33.623693,0.0
-30.0,30,34.603414,0.0
-30.0,30,35.582316,0.0
-30.0,30,36.555968,0.0
-30.0,30,37.537739,0.0
-30.0,30,38.532915,0.0
-30.0,30,39.515495,0.0
-30.0,30,40.505817,0.0
-30.0,30,41.505557,0.0
-30.0,30,42.516577,0.0
-22.0,30,43.506097,0.0
-30.0,30,44.502491,0.0
-30.0,30,45.49683,0.0
-30.0,30,46.4858,0.0
-30.0,30,47.48313,0.0
-30.0,30,48.521209,0.0
-30.0,30,49.533685,0.0
-30.0,30,50.549644,0.0
-30.0,30,51.575637,0.0
-30.0,30,52.669162,0.0
-30.0,30,53.699079,0.0
-30.0,30,54.742758,0.0
-30.0,30,55.781339,0.0
-30.0,30,56.814489,0.0
-30.0,30,57.846704,0.0
-30.0,30,58.876097,0.0
-7.0,30,59.911696,1.0
-30.0,30,61.032374,0.0
-30.0,30,62.105908,0.0
-30.0,30,63.163082,0.0
-30.0,30,64.223104,0.0
-30.0,30,65.285839,0.0
-30.0,30,66.343278,0.0
-30.0,30,67.412777,0.0
-9.0,30,68.50552,1.0
-30.0,30,69.573128,0.0
-30.0,30,70.627444,0.0
-30.0,30,71.673303,0.0
-30.0,30,72.730609,0.0
-30.0,30,73.778934,0.0
-30.0,30,74.837364,0.0
-30.0,30,75.893522,0.0
-30.0,30,77.007393,0.0
-22.0,30,78.096016,0.0
-30.0,30,79.165996,0.0
-30.0,30,80.245597,0.0
-25.0,30,81.327306,0.0
-30.0,30,82.391366,0.0
-30.0,30,83.457863,0.0
-18.0,30,84.592343,0.0
-30.0,30,85.647914,0.0
-30.0,30,86.731295,0.0
-30.0,30,87.797718,0.0
-30.0,30,88.86443,0.0
-30.0,30,89.924833,0.0
-30.0,30,90.996474,0.0
-30.0,30,92.056957,0.0
-30.0,30,93.113409,0.0
-30.0,30,94.178526,0.0
-16.0,30,95.252013,0.0
-24.0,30,96.320744,0.0
-30.0,30,97.423137,0.0
-30.0,30,98.516143,0.0
-30.0,30,99.589837,0.0
-30.0,30,100.658102,0.0
-30.0,30,101.734529,0.0
-30.0,30,102.804294,0.0
-25.0,30,103.908098,0.0
-30.0,30,104.973891,0.0
-30.0,30,106.041089,0.0
-15.0,30,107.154179,0.0
-30.0,30,108.24351,0.0
-30.0,30,109.35152,0.0
-24.0,30,110.419356,0.0
-30.0,30,111.543551,0.0
-30.0,30,112.604881,0.0
-30.0,30,113.673095,0.0
-30.0,30,114.743789,0.0
-30.0,30,115.843322,0.0
-30.0,30,116.929135,0.0
-30.0,30,118.000318,0.0
-30.0,30,119.063966,0.0
-14.0,30,120.170993,1.0
-25.0,30,121.239604,0.0
-5.0,30,122.308795,1.0
-30.0,30,123.38209,0.0
-11.0,30,124.444669,1.0
-30.0,30,125.515753,0.0
-30.0,30,126.569839,0.0
-30.0,30,127.635062,0.0
-30.0,30,128.704153,0.0
-10.0,30,129.794222,1.0
-8.0,30,130.865237,1.0
-30.0,30,131.995494,0.0
-30.0,30,133.092359,0.0
-30.0,30,134.157796,0.0
-30.0,30,135.236995,0.0
-30.0,30,136.310253,0.0
-30.0,30,137.390038,0.0
-6.0,30,138.48117,1.0
-4.0,30,139.538843,1.0
-6.0,30,140.607005,1.0
-8.0,30,141.720674,1.0
-30.0,30,142.761826,0.0
-30.0,30,143.795947,0.0
-30.0,30,144.833199,0.0
-5.0,30,145.883313,1.0
-30.0,30,146.933346,0.0
-20.0,30,147.974249,0.0
-18.0,30,149.04951,1.0
-30.0,30,150.103397,0.0
-7.0,30,151.15823,1.0
-30.0,30,152.216212,0.0
-15.0,30,153.276309,1.0
-30.0,30,154.321174,0.0
-30.0,30,155.378208,0.0
-11.0,30,156.439032,1.0
-30.0,30,157.480462,0.0
-30.0,30,158.541328,0.0
-30.0,30,159.596722,0.0
-5.0,30,160.642912,1.0
-30.0,30,161.69857,0.0
-23.0,30,162.755039,1.0
-5.0,30,163.809108,1.0
-6.0,30,164.840751,1.0
-11.0,30,165.88713,1.0
-30.0,30,166.945044,0.0
-30.0,30,167.984171,0.0
-30.0,30,169.03911,0.0
-30.0,30,170.094584,0.0
-30.0,30,171.148765,0.0
-30.0,30,172.198096,0.0
-30.0,30,173.252559,0.0
-30.0,30,174.312729,0.0
-22.0,30,175.385316,0.0
-6.0,30,176.523648,1.0
-30.0,30,177.576176,0.0
-30.0,30,178.635951,0.0
-30.0,30,179.687904,0.0
-30.0,30,180.734512,0.0
-30.0,30,181.787294,0.0
-30.0,30,182.843956,0.0
-6.0,30,183.899992,1.0
-30.0,30,184.960726,0.0
-30.0,30,186.032554,0.0
-30.0,30,187.102963,0.0
-30.0,30,188.152226,0.0
-30.0,30,189.204486,0.0
-30.0,30,190.258223,0.0
-30.0,30,191.33429,0.0
-30.0,30,192.427378,0.0
-30.0,30,193.484541,0.0
-8.0,30,194.534369,1.0
-30.0,30,195.584931,0.0
-30.0,30,196.687925,0.0
-30.0,30,197.748519,0.0
-6.0,30,198.841105,1.0
-9.0,30,199.892839,1.0
-30.0,30,200.974277,0.0
-30.0,30,202.024219,0.0
-24.0,30,203.07386,1.0
-30.0,30,204.130074,0.0
-30.0,30,205.176132,0.0
-12.0,30,206.21718,1.0
-30.0,30,207.262152,0.0
-10.0,30,208.329301,1.0
-9.0,30,209.400367,1.0
-30.0,30,210.474372,0.0
-30.0,30,211.537389,0.0
-30.0,30,212.59348,0.0
-10.0,30,213.649693,1.0
-30.0,30,214.697932,0.0
-18.0,30,215.75734,1.0
-30.0,30,216.819214,0.0
-30.0,30,217.87623,0.0
-30.0,30,218.934174,0.0
-7.0,30,220.00065,1.0
-30.0,30,221.045463,0.0
-9.0,30,222.09212,1.0
