#{"t_start": 1611595417.0207863, "env_id": "CartPole-v1"}
r,l,t
41.0,41,2.103947
15.0,15,2.119298
13.0,13,2.245477
18.0,18,2.264209
39.0,39,2.414323
22.0,22,2.547426
10.0,10,2.558028
16.0,16,2.685729
13.0,13,2.699333
11.0,11,2.82109
14.0,14,2.835644
18.0,18,2.977658
14.0,14,2.994918
32.0,32,3.156008
22.0,22,3.299283
41.0,41,3.461281
38.0,38,3.634862
27.0,27,3.787394
39.0,39,3.949462
48.0,48,4.231948
95.0,95,4.719659
108.0,108,5.275157
122.0,122,6.150802
172.0,172,7.263731
57.0,57,7.740462
64.0,64,8.127487
41.0,41,8.326759
38.0,38,8.674885
221.0,221,11.144443
24.0,24,11.169689
44.0,44,11.45165
114.0,114,11.913689
91.0,91,12.35135
333.0,333,14.181364
133.0,133,15.155254
134.0,134,16.019292
224.0,224,18.789683
154.0,154,19.662231
500.0,500,22.223959
428.0,428,24.340176
500.0,500,29.000001
500.0,500,31.732922
500.0,500,37.231767
500.0,500,39.809632
500.0,500,42.618285
500.0,500,47.260738
500.0,500,49.953228
500.0,500,54.53128
500.0,500,57.571157
500.0,500,60.212097
500.0,500,64.76844
500.0,500,67.259948
500.0,500,71.546208
500.0,500,74.265806
500.0,500,76.817513
500.0,500,81.188671
500.0,500,83.519849
